"champ";"statut";"annee";"periode";"date du resultat";"ipe";_NAME_;COL1;COL2;COL3;COL4;COL5;COL6;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/28 15:44:19";="020004495";cmd90;0;0;;0;0;;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:19";="020004495";hper;0;0;;0;0;;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:19";="020004495";typsejb;0;0;;0;0;;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:19";="020004495";ghs9999;6;0;;6;0;;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:19";="020004495";nbrsaseance;0;0;;0;0;;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:19";="020004495";nbseances;0;0;;0;0;;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:19";="020004495";nbrsa0;1217;1033;17.812197483;871;800;8.875;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:19";="020004495";nbjJT0;179;143;25.174825175;139;109;27.52293578;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:19";="020004495";nbrsah0;909;971;-6.385169928;625;701;-10.84165478;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:19";="020004495";nbjh0;7689;8890;-13.5095613;4719;6838;-30.98859316;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:19";="020004495";nbuhcd;0;757;-100;0;629;-100;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:19";="020004495";nbabott;0;0;;0;0;;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:14";="020000055";per;1;2;3;1;2;3;2023.7;X020000055;29AUG23;9:24:09
